Name,Price,Rating,Review Count,URL
Play haha.Gaming chair Office chair Swivel chair Computer chair Work chair Desk chair Ergonomic Chair Racing chair Leather chair PC gaming chair (Blue),£79.99,4.2 out of 5 stars,"22,438",https://amazon.co.uk/play-Ergonomic-Conference-Leatherwith-Adjustable/dp/B07S2XCK3P/ref=sr_1_13?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-13
"Yaheetech Gaming Chair Adjustable Racing Chair Ergonomic Swivel Office Reclining Chair High Back Executive Computer Chair with Lumbar Support, Gray",£69.99,4.2 out of 5 stars,"1,002",https://amazon.co.uk/Yaheetech-Adjustable-Ergonomic-Reclining-Executive/dp/B0B4DJHCF1/ref=sr_1_14?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-14
"X Rocker Maverick Gaming Chair, Ergonomic Home Mid-Back Office Chair, PU Leather, Height Adjustable Swivel Base with Natural Lumbar Support - White & Grey",£99.99,4.3 out of 5 stars,114,https://amazon.co.uk/X-Rocker-Maverick-White-Grey/dp/B094NGRVM1/ref=sr_1_15?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-15
NOKAXUS Gaming Chair Large Size High-back Ergonomic Racing Seat with Massager Lumbar Support and Retractible Footrest PU Leather 90-180 degree adjustment of backrest Thickening sponges(Yk-6008-black),£209.99,4.4 out of 5 stars,"5,959",https://amazon.co.uk/Nokaxus-Retractible-adjustment-Thickening-YK-6008-BLACK/dp/B07DZKG7SN/ref=sr_1_16?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-16
Amazon Brand - Umi Office Gaming Chair Computer Desk Chair with high ergonomic back lumbar support Rocking chair with footrest (White),£169.99,4.4 out of 5 stars,"3,122",https://amazon.co.uk/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09599822ZGZITE7APZNJ&url=%2FAmazon-Brand-Computer-ergonomic-footrest%2Fdp%2FB08Q7T8WLH%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2HPJT74CFLGNR%26keywords%3Dgaming%2Bchair%26qid%3D1658073595%26sprefix%3Dgaming%2Bchai%252Caps%252C166%26sr%3D8-17-spons%26psc%3D1&qualifier=1658073595&id=3924973261664944&widgetName=sp_mtf
PULUOMIS Video Gaming Chair Massage for Adults with Footrest Computer Desk Chair PU Leather 150° Reclining High Back Support Office chair for Home with Headrest Lumbar Pillow (Grey),£135.00,4.5 out of 5 stars,"1,664",https://amazon.co.uk/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0844014349CV7CMPCCEQ&url=%2FPULUOMIS-Massage-Computer-Ergonomic-Headrest%2Fdp%2FB08TWMW978%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2HPJT74CFLGNR%26keywords%3Dgaming%2Bchair%26qid%3D1658073595%26sprefix%3Dgaming%2Bchai%252Caps%252C166%26sr%3D8-18-spons%26psc%3D1&qualifier=1658073595&id=3924973261664944&widgetName=sp_mtf
bigzzia Gaming Chair Office Chair Desk Chair Swivel Heavy Duty Chair Ergonomic Design with Cushion and Reclining Back Support (Pink and White),£99.99,4.0 out of 5 stars,"2,481",https://amazon.co.uk/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A001865610L7R80U8CMLF&url=%2Fbigzzia-Ergonomic-Cushion-Reclining-Support%2Fdp%2FB08D9LTQ1Q%2Fref%3Dsr_1_19_sspa%3Fcrid%3D2HPJT74CFLGNR%26keywords%3Dgaming%2Bchair%26qid%3D1658073595%26sprefix%3Dgaming%2Bchai%252Caps%252C166%26sr%3D8-19-spons%26psc%3D1&qualifier=1658073595&id=3924973261664944&widgetName=sp_mtf
"IntimaTe WM Heart Gaming Chair,Ergonomic Office Chair for Adults and Kids,High back Swivel Computer Desk Chair Leather chair with arms and back support for Home,Red",£105.99,4.5 out of 5 stars,"6,570",https://amazon.co.uk/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04374483CGI3BX36X9OE&url=%2FGaming-Computer-Ergonomic-Office-Children%2Fdp%2FB01EIXO424%2Fref%3Dsr_1_20_sspa%3Fcrid%3D2HPJT74CFLGNR%26keywords%3Dgaming%2Bchair%26qid%3D1658073595%26sprefix%3Dgaming%2Bchai%252Caps%252C166%26sr%3D8-20-spons%26psc%3D1&qualifier=1658073595&id=3924973261664944&widgetName=sp_mtf
"Gaming Chair -YOLEO Ergonomic Computer Gaming Chair Adjustable Armrest High Back Office Chair Mute Casters Desk Chair with Lumbar Support and Headrest, Recliner Chair BIFMA Certified",£110.99,4.2 out of 5 stars,"1,506",https://amazon.co.uk/Footrest-Computer-Ergonomic-Adjustable-Certified/dp/B085W39MMD/ref=sr_1_21?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-21
"Razer Iskur X - Ergonomic Gaming Chair (Desk Chair/Office Chair, Ergonomic Design, Multi-layer Faux Leather, High Density Foam Padding) Black/Green | Standard",£249.00,4.5 out of 5 stars,110,https://amazon.co.uk/Razer-Iskur-Ergonomic-Gaming-Packaging/dp/B08VK7Y2TX/ref=sr_1_22?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-22
